Gene ID,GSM7587683,GSM7587684,GSM7587685,GSM7587686,GSM7587687,GSM7587688,GSM7587689,GSM7587690,GSM7587691,GSM7587692,GSM7587693,GSM7587694,GSM7587695,GSM7587696,GSM7587697,GSM7587698,GSM7587699,GSM7587700,GSM7587701,GSM7587702,GSM7587703,GSM7587704,GSM7587705,GSM7587706,GSM7587707,GSM7587708,GSM7587709,GSM7587710,GSM7587711,GSM7587712,GSM7587713,GSM7587714,GSM7587715,GSM7587716
ATG10,8.571056942,8.918381495,7.983738575,8.08425723,8.196401314,8.330060647,9.170453975,8.058559733,8.281027766,8.896404255,8.6051416,8.572147995,8.400789916,8.573513515,8.635080194,8.186523942,8.209782629,8.275548746,8.448566823,8.246041396,7.689178489,8.131793969,8.155787185,7.894509953,7.829598107,8.034244449,8.033235696,8.634910999,8.133936311,7.60799749,7.917391745,7.905022423,7.833735767,8.105192634
ATG12,7.462014182,8.13953182,6.697215816,6.715869824,6.399388337,6.353986487,8.856861739,6.829077887,6.882038207,7.709782964,7.094007511,7.349755574,7.020647207,6.832600737,7.3825735,6.247924486,6.363405818,6.591644396,6.762675414,8.451315283,6.512300727,5.826939388,6.919719827,6.431335933,6.310724796,6.075823553,6.202648467,6.306513409,6.048075575,6.766695236,5.854381947,6.492012606,6.291841988,6.761890888
ATG16L1,9.822761526,9.923803129,9.821493815,9.652186534,11.09217817,9.478924033,10.47604769,9.55793668,9.498570787,9.773614576,9.84124144,9.836583756,10.06889365,9.531519427,9.692835534,9.710994682,9.87360055,9.853565181,9.74373385,9.934553722,9.804122067,9.78204793,9.959248191,10.34781258,9.71631082,9.952898494,9.779390461,9.742171966,10.12589899,9.722441998,9.996853736,9.820410196,9.899607439,10.08811912
ATG5,10.30802254,10.16447818,10.18906891,10.30846277,11.26851946,10.42007568,10.27189924,10.29640235,10.37700881,10.48839207,10.61884902,10.68243915,10.49064807,10.65679665,10.0627619,10.29231861,9.439681585,9.462465737,10.04517968,9.787712333,9.348488332,9.846257565,9.69699341,9.247496752,9.660377374,9.8258453,10.0378376,10.00944483,9.748515293,9.629642484,9.645079525,9.777830407,9.359197256,9.416900887
ATG7,9.767152619,9.660985165,9.673801636,9.640142498,9.741018346,9.832277132,10.15484414,9.596805735,9.806693083,9.75542563,9.690374775,9.826040262,9.988466801,9.730239019,10.2213967,9.906135969,9.931265891,9.693182422,9.586070347,9.505763067,9.768458126,9.765538843,9.654278924,9.771694733,9.994505033,9.260248124,9.295885946,9.467404598,9.690842527,9.512649613,9.665412527,9.82845648,9.791218935,9.753793421
ATM,7.208486862,7.851681094,6.90074921,6.888706421,6.121854361,6.498376396,9.066475556,6.739281217,6.907349296,7.104061903,6.825072504,6.808294712,7.562540986,6.687170297,7.058222743,6.363401704,7.377905388,8.189903719,7.274737367,8.808773949,8.060201134,7.263038503,8.10734683,8.256249226,7.61095782,6.627619189,6.787610968,6.188331982,7.46990224,7.398963451,6.917391745,7.784463499,8.712173787,8.4506892
AXL,9.964163801,10.44118752,9.611374412,10.34919535,9.862095087,9.705971815,9.803954473,10.02637933,9.663630033,9.582377235,9.720883653,10.05697382,9.711261495,9.946556926,9.901497239,9.191741651,10.33023895,10.42921393,10.50777241,9.832473784,10.11544324,10.89007007,10.32268449,9.833434376,10.75441061,10.94338311,10.70683547,11.37863848,10.54897381,10.5851709,10.75352304,10.08640012,9.725979587,10.24462361
BAGE,6.692898065,7.150672378,5.296677887,2.934510111,6.054740165,6.820304491,8.086867345,4.494658848,6.601018056,7.809318638,7.441229626,7.815419146,7.009999962,7.272132798,7.663250867,6.692709329,3.821512039,5.509182235,4.004648204,6.713073532,4.895629367,4.241976887,5.820184154,5.346447035,4.244635606,4.075823553,4.697413159,4.875174097,3.905117621,3.319236259,4.90500802,4.016279175,4.526307242,6.053353703
BATF,8.534672791,8.261018487,9.108148917,9.037797919,7.043244526,8.02492221,8.535675581,8.722640951,8.683911065,7.872054393,7.207218121,7.481000107,8.35103688,7.46295514,8.810863406,8.561815262,8.941063518,9.277626061,8.790629475,9.447483422,9.398129707,8.476442141,9.241647922,8.72831767,9.534654453,7.223722248,8.083066852,7.125400727,8.677707125,8.963092449,7.740513982,9.551554551,10.10976615,9.572318645
BAX,11.08521549,10.80778466,11.10609233,10.80024338,11.79855943,11.31733892,11.14879509,11.01412418,11.27131261,10.76785202,11.29414713,11.14867366,11.22952705,11.41013303,11.32075192,11.31640422,11.05597729,11.0595518,11.17692863,11.05717301,11.17051221,10.97788129,11.23763486,10.9850475,11.39438273,10.88902172,11.207252,10.77329448,11.04210873,11.62798896,10.83247949,11.15327029,11.56248085,11.85441139
BCL10,11.71370198,11.4040411,11.52434196,11.29754974,13.22498319,11.91703219,11.06775852,11.55276825,11.56170513,11.51468223,11.84306741,11.61462898,11.50683155,12.21831542,11.65375449,11.48420449,11.09873105,11.15020683,11.563294,11.54304878,11.17175377,11.55432601,11.49395592,11.07519212,11.6714245,11.50132558,11.79476569,11.41150963,11.6119014,11.64157415,11.42477982,11.54473329,11.38739415,12.12573144
